Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),label
173,42.4,83.7,1.5,1.5,12.7,752,Unbalanced
66,39.2,13.8,3.2,2.6,12.2,680,Unbalanced
226,27.1,79.1,25.8,3.2,44.7,295,Unbalanced
116,43.4,47.1,16.1,6.5,44.1,307,Unbalanced
500,33.9,75.8,47.0,7.8,19.4,358,Balanced
387,31.2,6.8,39.5,5.1,0.7,300,Balanced
138,28.2,12.4,20.2,2.8,37.8,933,Unbalanced
69,36.8,17.8,15.0,9.6,36.4,185,Balanced
568,6.7,7.0,23.4,6.4,46.9,336,Unbalanced
204,19.3,62.7,31.8,6.8,40.3,887,Unbalanced
108,40.6,13.9,12.2,9.3,44.7,530,Balanced
117,34.4,21.0,10.1,9.1,18.5,66,Balanced
147,20.1,32.7,8.9,7.0,42.4,500,Unbalanced
468,23.7,89.2,3.1,6.3,31.3,342,Balanced
157,27.5,32.4,9.4,0.5,24.6,180,Unbalanced
385,15.8,36.5,33.1,2.1,27.6,134,Balanced
297,36.3,76.4,24.9,2.9,37.6,269,Unbalanced
274,42.4,54.5,45.2,8.2,20.3,507,Balanced
353,24.0,96.2,6.8,0.9,17.5,305,Balanced
569,4.3,23.2,31.9,9.5,28.2,373,Balanced
217,28.1,8.3,38.9,3.7,43.2,653,Unbalanced
492,32.8,45.9,27.5,7.5,5.1,435,Balanced
222,21.1,85.0,45.1,1.7,46.8,422,Unbalanced
335,38.0,64.7,39.1,9.5,2.1,322,Balanced
552,25.9,27.4,39.2,1.5,47.3,338,Balanced
252,18.0,24.9,31.0,8.2,43.6,744,Balanced
141,19.0,93.3,11.8,5.7,20.0,970,Unbalanced
336,43.1,56.8,21.9,9.4,18.1,452,Balanced
315,37.8,25.5,15.6,1.2,1.0,555,Unbalanced
553,44.1,25.7,21.9,4.5,36.7,888,Balanced
496,18.1,24.9,16.5,0.2,13.0,346,Balanced
142,14.6,21.9,41.4,2.7,46.5,947,Balanced
71,4.0,62.8,42.7,1.7,31.2,87,Balanced
595,32.5,23.8,35.1,9.3,32.0,389,Balanced
165,7.7,35.0,44.2,5.3,8.7,21,Balanced
568,27.5,63.4,25.4,1.6,9.5,360,Balanced
437,41.2,71.7,6.0,7.8,14.8,893,Unbalanced
195,45.0,40.9,31.6,8.8,0.8,372,Balanced
71,33.4,70.0,27.3,6.6,44.3,864,Unbalanced
271,13.7,89.5,33.8,8.0,3.9,509,Balanced
353,34.1,87.5,47.0,3.3,17.0,172,Unbalanced
219,32.6,49.5,30.3,9.4,23.5,771,Balanced
171,47.4,80.3,10.1,9.0,44.3,525,Balanced
539,43.1,35.6,15.6,0.2,33.1,496,Balanced
86,48.7,52.9,9.3,5.9,5.2,888,Unbalanced
173,22.1,59.4,30.1,5.2,12.4,424,Unbalanced
359,31.6,30.8,13.3,3.1,18.3,880,Balanced
508,5.3,70.4,40.3,6.1,47.2,423,Balanced
294,21.6,97.9,23.5,8.1,45.5,934,Balanced
315,4.7,23.6,7.5,9.2,4.8,971,Balanced
191,28.8,39.6,40.3,6.5,23.9,842,Unbalanced
485,49.2,81.2,5.8,3.7,44.1,343,Unbalanced
282,30.3,69.7,21.5,5.4,39.9,731,Unbalanced
281,19.6,61.0,29.7,2.7,4.1,871,Balanced
233,39.6,53.4,44.6,8.7,38.4,433,Balanced
184,19.0,39.9,1.1,0.8,39.1,762,Unbalanced
449,44.3,76.2,39.8,5.5,5.1,828,Unbalanced
547,20.3,33.9,44.9,7.6,28.5,587,Balanced
285,13.9,46.2,31.8,8.8,28.8,764,Balanced
244,2.6,93.3,22.2,3.6,40.0,675,Unbalanced
484,29.7,70.2,37.9,8.6,32.7,569,Balanced
592,34.7,55.6,21.1,2.9,35.3,561,Balanced
57,8.4,65.5,35.9,8.4,49.3,973,Balanced
434,47.5,34.2,25.5,6.0,15.9,247,Unbalanced
527,16.1,76.4,34.7,4.5,22.0,360,Balanced
538,36.3,17.8,29.8,2.0,42.9,39,Balanced
276,20.7,97.9,27.3,4.7,4.8,168,Balanced
558,12.3,55.4,26.1,4.1,4.8,38,Unbalanced
308,42.1,25.7,3.1,7.8,18.6,355,Unbalanced
56,41.9,77.4,29.2,1.2,17.0,552,Unbalanced
565,4.8,45.9,45.1,7.9,17.1,213,Unbalanced
91,11.1,76.6,38.8,8.6,12.7,88,Balanced
